id,name,price,stock
1,Roasted Coffee Cappuccino Sticks,641.25,10
2,Sweet Tea Jasmine Pearls,484.49,14
3,Light Snack Trail Mix,138.99,18
4,Special Drink Sports Drink,172.99,22
5,Local Bakery Cinnamon Roll,164.5,26
6,Fresh Dairy Greek Yogurt,231.49,30
7,Classic Pantry Soy Sauce 1L,195.25,34
8,Original Frozen Frozen Pizza,116.49,38
9,Salted Produce Garlic Bulb,69.25,42
10,Spicy Meat Lamb Chops,187.99,46
11,Deluxe Bath Mouthwash,150.99,50
12,Imported Clean Floor Wax,413.0,54
13,Natural Office Highlighter,61.25,58
14,Organic Tech Earphones,1559.5,62
15,Premium Pet Cat Food 1kg,169.49,66
16,Roasted Coffee Espresso Beans,363.0,70
17,Sweet Tea Hibiscus Leaves,463.99,74
18,Light Snack Popcorn Bag,96.25,78
19,Special Drink Juice Box,174.49,82
20,Local Bakery Banana Bread,207.75,86
21,Roasted Coffee Cappuccino Sticks,644.5,30
22,Sweet Tea Jasmine Pearls,487.74,34
23,Light Snack Trail Mix,142.24,38
24,Special Drink Sports Drink,176.24,42
25,Local Bakery Cinnamon Roll,167.75,46
26,Fresh Dairy Greek Yogurt,234.74,50
27,Classic Pantry Soy Sauce 1L,198.5,54
28,Original Frozen Frozen Pizza,119.74,58
29,Salted Produce Garlic Bulb,72.5,62
30,Spicy Meat Lamb Chops,191.24,66
31,Deluxe Bath Mouthwash,154.24,70
32,Imported Clean Floor Wax,416.25,74
33,Natural Office Highlighter,64.5,78
34,Organic Tech Earphones,1562.75,82
35,Premium Pet Cat Food 1kg,172.74,86
36,Roasted Coffee Espresso Beans,366.25,90
37,Sweet Tea Hibiscus Leaves,467.24,94
38,Light Snack Popcorn Bag,99.5,98
39,Special Drink Juice Box,177.74,3
40,Local Bakery Banana Bread,211.0,7
41,Roasted Coffee Cappuccino Sticks,647.75,50
42,Sweet Tea Jasmine Pearls,490.99,54
43,Light Snack Trail Mix,145.49,58
44,Special Drink Sports Drink,179.49,62
45,Local Bakery Cinnamon Roll,171.0,66
46,Fresh Dairy Greek Yogurt,237.99,70
47,Classic Pantry Soy Sauce 1L,201.75,74
48,Original Frozen Frozen Pizza,122.99,78
49,Salted Produce Garlic Bulb,75.75,82
50,Spicy Meat Lamb Chops,194.49,86
51,Deluxe Bath Mouthwash,157.49,90
52,Imported Clean Floor Wax,419.5,94
53,Natural Office Highlighter,67.75,98
54,Organic Tech Earphones,1566.0,3
55,Premium Pet Cat Food 1kg,175.99,7
56,Roasted Coffee Espresso Beans,369.5,11
57,Sweet Tea Hibiscus Leaves,470.49,15
58,Light Snack Popcorn Bag,102.75,19
59,Special Drink Juice Box,180.99,23
60,Local Bakery Banana Bread,214.25,27
61,Roasted Coffee Cappuccino Sticks,651.0,70
62,Sweet Tea Jasmine Pearls,494.24,74
63,Light Snack Trail Mix,148.74,78
64,Special Drink Sports Drink,182.74,82
65,Local Bakery Cinnamon Roll,174.25,86
66,Fresh Dairy Greek Yogurt,241.24,90
67,Classic Pantry Soy Sauce 1L,205.0,94
68,Original Frozen Frozen Pizza,126.24,98
69,Salted Produce Garlic Bulb,79.0,3
70,Spicy Meat Lamb Chops,197.74,7
71,Deluxe Bath Mouthwash,160.74,11
72,Imported Clean Floor Wax,422.75,15
73,Natural Office Highlighter,71.0,19
74,Organic Tech Earphones,1569.25,23
75,Premium Pet Cat Food 1kg,179.24,27
76,Roasted Coffee Espresso Beans,372.75,31
77,Sweet Tea Hibiscus Leaves,473.74,35
78,Light Snack Popcorn Bag,106.0,39
79,Special Drink Juice Box,184.24,43
80,Local Bakery Banana Bread,217.5,47
81,Roasted Coffee Cappuccino Sticks,654.25,90
82,Sweet Tea Jasmine Pearls,497.49,94
83,Light Snack Trail Mix,151.99,98
84,Special Drink Sports Drink,185.99,3
85,Local Bakery Cinnamon Roll,177.5,7
86,Fresh Dairy Greek Yogurt,244.49,11
87,Classic Pantry Soy Sauce 1L,208.25,15
88,Original Frozen Frozen Pizza,129.49,19
89,Salted Produce Garlic Bulb,82.25,23
90,Spicy Meat Lamb Chops,200.99,27
91,Deluxe Bath Mouthwash,163.99,31
92,Imported Clean Floor Wax,426.0,35
93,Natural Office Highlighter,74.25,39
94,Organic Tech Earphones,1572.5,43
95,Premium Pet Cat Food 1kg,182.49,47
96,Roasted Coffee Espresso Beans,376.0,51
97,Sweet Tea Hibiscus Leaves,476.99,55
98,Light Snack Popcorn Bag,109.25,59
99,Special Drink Juice Box,187.49,63
100,Local Bakery Banana Bread,220.75,67
101,Roasted Coffee Cappuccino Sticks,657.5,11
102,Sweet Tea Jasmine Pearls,500.74,15
103,Light Snack Trail Mix,155.24,19
104,Special Drink Sports Drink,189.24,23
105,Local Bakery Cinnamon Roll,180.75,27
106,Fresh Dairy Greek Yogurt,247.74,31
107,Classic Pantry Soy Sauce 1L,211.5,35
108,Original Frozen Frozen Pizza,132.74,39
109,Salted Produce Garlic Bulb,85.5,43
